Timestamp,Lat,Lon,Distance
2025-03-30 12:29:53,423652219,-711365941,14.0
2025-03-30 12:29:53,423652217,-711365943,14.02
2025-03-30 12:29:54,423652209,-711365941,14.28
2025-03-30 12:29:55,423652204,-711365936,14.51
2025-03-30 12:29:56,423652213,-711365932,14.32
2025-03-30 12:29:57,423652206,-711365924,14.65
2025-03-30 12:29:58,423652200,-711365917,14.94
2025-03-30 12:29:59,423652194,-711365911,15.21
2025-03-30 12:30:00,423652189,-711365906,15.44
2025-03-30 12:30:01,423652184,-711365905,15.6
2025-03-30 12:30:02,423652177,-711365903,15.83
2025-03-30 12:30:02,423652169,-711365902,16.08
2025-03-30 12:30:03,423652164,-711365898,16.29
2025-03-30 12:30:04,423652157,-711365896,16.52
2025-03-30 12:30:06,423652151,-711365893,16.75
2025-03-30 12:30:06,423652144,-711365891,16.98
2025-03-30 12:30:08,423652138,-711365891,17.16
2025-03-30 12:30:09,423652136,-711365887,17.28
2025-03-30 12:30:10,423652134,-711365887,17.34
2025-03-30 12:30:11,423652133,-711365888,17.35
2025-03-30 12:30:12,423652131,-711365887,17.43
2025-03-30 12:30:13,423652128,-711365886,17.53
2025-03-30 12:30:14,423652124,-711365886,17.65
2025-03-30 12:30:14,423652121,-711365888,17.71
2025-03-30 12:30:16,423652128,-711365891,17.45
2025-03-30 12:30:17,423652142,-711365874,17.32
2025-03-30 12:30:18,423652150,-711365864,17.26
2025-03-30 12:30:18,423652151,-711365856,17.37
2025-03-30 12:30:20,423652157,-711365849,17.32
2025-03-30 12:30:21,423652165,-711365846,17.15
2025-03-30 12:30:22,423652171,-711365847,16.97
2025-03-30 12:30:22,423652177,-711365849,16.78
2025-03-30 12:30:24,423652185,-711365851,16.52
2025-03-30 12:30:24,423652193,-711365850,16.33
2025-03-30 12:30:25,423652202,-711365846,16.17
2025-03-30 12:30:26,423652206,-711365847,16.05
2025-03-30 12:30:27,423652209,-711365848,15.95
2025-03-30 12:30:28,423652213,-711365849,15.83
2025-03-30 12:30:29,423652218,-711365850,15.68
2025-03-30 12:30:30,423652221,-711365851,15.59
2025-03-30 12:30:31,423652226,-711365852,15.44
2025-03-30 12:30:32,423652229,-711365855,15.31
2025-03-30 12:30:33,423652233,-711365856,15.19
2025-03-30 12:30:34,423652236,-711365858,15.07
2025-03-30 12:30:35,423652240,-711365861,14.92
2025-03-30 12:30:36,423652241,-711365863,14.85
2025-03-30 12:30:37,423652241,-711365863,14.85
2025-03-30 12:30:38,423652240,-711365861,14.92
2025-03-30 12:30:39,423652238,-711365860,14.98
2025-03-30 12:30:40,423652234,-711365858,15.12
2025-03-30 12:30:41,423652229,-711365856,15.29
2025-03-30 12:30:42,423652224,-711365856,15.41
2025-03-30 12:30:43,423652222,-711365857,15.45
2025-03-30 12:30:44,423652223,-711365861,15.34
2025-03-30 12:30:45,423652225,-711365865,15.21
2025-03-30 12:30:46,423652224,-711365867,15.2
2025-03-30 12:30:47,423652228,-711365871,15.02
2025-03-30 12:30:48,423652228,-711365873,14.98
