Timestamp,Lat,Lon,Distance
2025-03-30 12:31:39,423652196,-711365919,15.02
2025-03-30 12:31:40,423652194,-711365921,15.04
2025-03-30 12:31:41,423652191,-711365923,15.1
2025-03-30 12:31:42,423652184,-711365926,15.25
2025-03-30 12:31:43,423652184,-711365931,15.17
2025-03-30 12:31:44,423652184,-711365939,15.04
2025-03-30 12:31:45,423652180,-711365949,15.0
2025-03-30 12:31:45,423652174,-711365955,15.09
2025-03-30 12:31:47,423652169,-711365959,15.18
2025-03-30 12:31:47,423652169,-711365965,15.1
2025-03-30 12:31:48,423652170,-711365972,14.96
2025-03-30 12:31:49,423652171,-711365981,14.8
2025-03-30 12:31:50,423652172,-711365985,14.72
2025-03-30 12:31:51,423652175,-711365991,14.54
2025-03-30 12:31:52,423652178,-711365994,14.4
2025-03-30 12:31:53,423652181,-711366001,14.21
2025-03-30 12:31:54,423652185,-711366007,14.01
2025-03-30 12:31:55,423652190,-711366013,13.77
2025-03-30 12:31:56,423652193,-711366020,13.58
2025-03-30 12:31:57,423652195,-711366027,13.42
2025-03-30 12:31:58,423652200,-711366034,13.17
2025-03-30 12:31:59,423652206,-711366040,12.9
2025-03-30 12:32:00,423652213,-711366043,12.64
2025-03-30 12:32:01,423652222,-711366048,12.29
2025-03-30 12:32:02,423652226,-711366050,12.13
2025-03-30 12:32:03,423652231,-711366053,11.94
2025-03-30 12:32:04,423652235,-711366055,11.78
2025-03-30 12:32:05,423652241,-711366057,11.56
2025-03-30 12:32:06,423652242,-711366060,11.49
2025-03-30 12:32:07,423652244,-711366063,11.39
2025-03-30 12:32:08,423652245,-711366065,11.33
2025-03-30 12:32:09,423652247,-711366069,11.22
2025-03-30 12:32:10,423652249,-711366073,11.1
2025-03-30 12:32:11,423652249,-711366075,11.07
2025-03-30 12:32:12,423652253,-711366076,10.93
2025-03-30 12:32:13,423652255,-711366079,10.83
2025-03-30 12:32:14,423652259,-711366083,10.65
2025-03-30 12:32:15,423652266,-711366088,10.36
2025-03-30 12:32:16,423652271,-711366093,10.14
2025-03-30 12:32:17,423652277,-711366096,9.91
2025-03-30 12:32:18,423652285,-711366100,9.6
2025-03-30 12:32:19,423652291,-711366100,9.41
2025-03-30 12:32:20,423652299,-711366100,9.15
2025-03-30 12:32:21,423652305,-711366098,8.99
2025-03-30 12:32:22,423652310,-711366094,8.89
2025-03-30 12:32:23,423652314,-711366090,8.82
2025-03-30 12:32:24,423652317,-711366086,8.79
2025-03-30 12:32:25,423652320,-711366080,8.79
2025-03-30 12:32:26,423652322,-711366075,8.81
2025-03-30 12:32:27,423652321,-711366068,8.95
2025-03-30 12:32:28,423652320,-711366063,9.07
2025-03-30 12:32:29,423652324,-711366064,8.93
2025-03-30 12:32:30,423652328,-711366063,8.84
2025-03-30 12:32:31,423652330,-711366060,8.83
2025-03-30 12:32:32,423652333,-711366056,8.82
2025-03-30 12:32:33,423652336,-711366054,8.77
2025-03-30 12:32:34,423652339,-711366051,8.74
2025-03-30 12:32:35,423652337,-711366046,8.88
2025-03-30 12:32:36,423652335,-711366041,9.03
2025-03-30 12:32:37,423652332,-711366034,9.24
2025-03-30 12:32:38,423652328,-711366027,9.47
2025-03-30 12:32:39,423652325,-711366024,9.61
2025-03-30 12:32:40,423652323,-711366024,9.66
2025-03-30 12:32:41,423652322,-711366026,9.65
2025-03-30 12:32:42,423652321,-711366028,9.64
2025-03-30 12:32:43,423652321,-711366030,9.61
2025-03-30 12:32:44,423652318,-711366032,9.65
2025-03-30 12:32:45,423652316,-711366033,9.69
2025-03-30 12:32:46,423652313,-711366033,9.77
2025-03-30 12:32:47,423652314,-711366032,9.76
2025-03-30 12:32:48,423652313,-711366030,9.83
2025-03-30 12:32:49,423652314,-711366028,9.83
2025-03-30 12:32:50,423652314,-711366027,9.85
2025-03-30 12:32:51,423652318,-711366027,9.74
2025-03-30 12:32:52,423652321,-711366026,9.68
2025-03-30 12:32:54,423652324,-711366024,9.63
2025-03-30 12:32:55,423652326,-711366021,9.64
2025-03-30 12:32:55,423652327,-711366020,9.63
2025-03-30 12:32:57,423652328,-711366018,9.64
2025-03-30 12:32:58,423652328,-711366018,9.64
2025-03-30 12:32:59,423652330,-711366017,9.61
2025-03-30 12:33:00,423652331,-711366017,9.58
2025-03-30 12:33:01,423652334,-711366018,9.49
2025-03-30 12:33:02,423652335,-711366020,9.42
2025-03-30 12:33:03,423652336,-711366021,9.38
2025-03-30 12:33:04,423652338,-711366021,9.33
2025-03-30 12:33:05,423652347,-711366023,9.06
2025-03-30 12:33:06,423652348,-711366021,9.07
2025-03-30 12:33:07,423652352,-711366020,9.0
2025-03-30 12:33:08,423652358,-711366020,8.85
2025-03-30 12:33:09,423652363,-711366020,8.73
2025-03-30 12:33:10,423652369,-711366021,8.57
2025-03-30 12:33:11,423652374,-711366021,8.46
2025-03-30 12:33:12,423652378,-711366022,8.35
2025-03-30 12:33:13,423652383,-711366026,8.15
2025-03-30 12:33:14,423652387,-711366028,8.02
2025-03-30 12:33:15,423652389,-711366032,7.89
2025-03-30 12:33:16,423652394,-711366038,7.65
2025-03-30 12:33:16,423652396,-711366036,7.65
2025-03-30 12:33:18,423652399,-711366030,7.73
2025-03-30 12:33:19,423652402,-711366028,7.71
2025-03-30 12:33:20,423652402,-711366031,7.64
2025-03-30 12:33:21,423652403,-711366033,7.58
2025-03-30 12:33:22,423652402,-711366040,7.44
