Timestamp,Distance
2025-03-28 15:44:28,1.57
2025-03-28 15:44:29,1.47
2025-03-28 15:44:30,1.31
2025-03-28 15:44:31,1.22
2025-03-28 15:44:32,1.11
2025-03-28 15:44:33,1.0
2025-03-28 15:44:34,0.93
2025-03-28 15:44:35,0.9
2025-03-28 15:44:36,0.82
2025-03-28 15:44:37,0.81
2025-03-28 15:44:38,0.8
2025-03-28 15:44:39,0.79
2025-03-28 15:44:40,0.76
2025-03-28 15:44:41,0.76
2025-03-28 15:44:42,0.79
2025-03-28 15:44:43,0.81
2025-03-28 15:44:44,0.78
2025-03-28 15:44:45,0.78
2025-03-28 15:44:46,0.74
2025-03-28 15:44:47,0.75
2025-03-28 15:44:48,0.66
2025-03-28 15:44:49,0.52
2025-03-28 15:44:50,0.4
2025-03-28 15:44:51,0.29
2025-03-28 15:44:52,0.16
2025-03-28 15:44:53,0.17
2025-03-28 15:44:54,0.18
2025-03-28 15:44:55,0.23
2025-03-28 15:44:56,0.33
2025-03-28 15:44:57,0.41
2025-03-28 15:44:58,0.47
2025-03-28 15:44:59,0.53
2025-03-28 15:45:00,0.61
2025-03-28 15:45:01,0.67
2025-03-28 15:45:02,0.72
2025-03-28 15:45:03,0.77
2025-03-28 15:45:04,0.85
2025-03-28 15:45:05,0.91
2025-03-28 15:45:06,0.98
2025-03-28 15:45:07,1.03
2025-03-28 15:45:08,1.11
2025-03-28 15:45:09,1.14
2025-03-28 15:45:10,1.21
2025-03-28 15:45:11,1.25
2025-03-28 15:45:12,1.29
2025-03-28 15:45:13,1.36
2025-03-28 15:45:14,1.39
2025-03-28 15:45:15,1.41
2025-03-28 15:45:16,1.48
2025-03-28 15:45:17,1.52
2025-03-28 15:45:18,1.49
2025-03-28 15:45:19,1.51
2025-03-28 15:45:20,1.53
2025-03-28 15:45:21,1.56
2025-03-28 15:45:22,1.6
2025-03-28 15:45:23,1.59
2025-03-28 15:45:24,1.57
2025-03-28 15:45:25,1.51
2025-03-28 15:45:26,1.46
2025-03-28 15:45:27,1.39
2025-03-28 15:45:28,1.34
2025-03-28 15:45:29,1.25
2025-03-28 15:45:30,1.16
2025-03-28 15:45:31,1.06
2025-03-28 15:45:32,0.95
